NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Washington Moraes;Washington.Moraes@gmail.com;15620-369;Júlia Alameda;216;Mogi das Cruzes;Espírito Santo;Esportes & Mercearia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/921.jpg
Norberto Nogueira;Norberto_Nogueira@bol.com.br;08325-584;Murilo Rodovia;128;Curitiba;Amazonas;Automotivo & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1152.jpg
Lorraine Martins;Lorraine.Martins69@gmail.com;36653-854;Braga Rua;613;Vila Velha;Goiás;Industrial, Brinquedos & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/809.jpg
Gustavo Moraes;Gustavo_Moraes71@gmail.com;19006-528;Moraes Alameda;811;Belém;Tocantins;Roupas & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/350.jpg
Gabriel Carvalho;Gabriel.Carvalho@yahoo.com;33497-276;Santos Alameda;718;Vitória;Santa Catarina;Turismo, Turismo & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/175.jpg
Kléber Silva;Kleber28@hotmail.com;13789-067;Moreira Rodovia;432;Feira de Santana;Rio Grande do Sul;Automotivo, Saúde & Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/604.jpg
Enzo Gabriel Carvalho;EnzoGabriel_Carvalho46@yahoo.com;03007-293;Alessandra Travessa;559;Rio de Janeiro;Paraíba;Automotivo & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/452.jpg
Aline Souza;Aline.Souza@yahoo.com;20271-439;Morgana Rodovia;532;Cariacica;Alagoas;Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/943.jpg
Maitê Moraes;Maite.Moraes0@yahoo.com;26621-823;Albuquerque Travessa;622;Contagem;Mato Grosso do Sul;Casa & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1084.jpg
João Miguel Batista;JoaoMiguel88@bol.com.br;36411-366;Moreira Rodovia;834;São Luís;Amazonas;Eletrônicos & Livros;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/248.jpg
Ana Clara Silva;AnaClara.Silva@gmail.com;25883-210;Silva Rodovia;93;Caucaia;Goiás;Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/321.jpg
Enzo Martins;Enzo_Martins@hotmail.com;95435-744;Fabrício Marginal;494;Paulista;Tocantins;Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/368.jpg
Raul Carvalho;Raul.Carvalho@bol.com.br;48953-549;Valentina Travessa;40;Piracicaba;Amazonas;Saúde, Livros & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1239.jpg
Nataniel Moraes;Nataniel_Moraes58@gmail.com;86571-637;Felícia Avenida;114;Jundiaí;Rio Grande do Norte;Roupas, Casa & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/400.jpg
Maria Eduarda Moreira;MariaEduarda_Moreira33@bol.com.br;04677-610;Melo Rua;555;Campos dos Goytacazes;Minas Gerais;Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/595.jpg
Deneval Pereira;Deneval.Pereira29@hotmail.com;56350-043;Rafael Avenida;412;Campina Grande;Alagoas;Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/647.jpg
Salvador Xavier;Salvador_Xavier43@hotmail.com;83727-642;Paulo Rua;811;Fortaleza;Tocantins;Computadores & Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/250.jpg
Maitê Martins;Maite_Martins@hotmail.com;73505-190;Melo Marginal;614;Joinville;Bahia;Livros, Sapatos & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/237.jpg
Valentina Souza;Valentina_Souza@gmail.com;69487-265;Feliciano Rodovia;602;Petrolina;Alagoas;Bebê & Mercearia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/405.jpg
Meire Batista;Meire90@bol.com.br;27761-234;Braga Travessa;402;Limeira;Pará;Roupas, Beleza & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/687.jpg
Meire Carvalho;Meire93@gmail.com;80168-340;Braga Alameda;471;Mossoró;Paraíba;Crianças, Mercearia & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/375.jpg
Henrique Reis;Henrique.Reis@yahoo.com;01056-350;Mércia Rodovia;792;Ponta Grossa;São Paulo;Jardim & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/843.jpg
Laura Reis;Laura_Reis6@live.com;41866-714;Tertuliano Alameda;161;Mauá;Pernambuco;Automotivo & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/432.jpg
César Moraes;Cesar69@hotmail.com;45526-269;João Pedro Marginal;391;Ananindeua;Paraíba;Automotivo & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/523.jpg
Yasmin Nogueira;Yasmin_Nogueira@yahoo.com;63914-759;João Pedro Avenida;104;Cuiabá;Santa Catarina;Mercearia & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/289.jpg
Dalila Albuquerque;Dalila_Albuquerque69@hotmail.com;45406-364;Roberto Avenida;490;Aparecida de Goiânia;Tocantins;Crianças, Esportes & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1229.jpg
Helena Carvalho;Helena99@live.com;33465-605;Maitê Avenida;814;Pelotas;Amazonas;Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/840.jpg
Mércia Silva;Mercia_Silva@gmail.com;23793-215;Santos Marginal;589;Piracicaba;Piauí;Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/17.jpg
Valentina Barros;Valentina_Barros@bol.com.br;75724-830;Fábio Avenida;79;São Paulo;Pernambuco;Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/651.jpg
Pedro Braga;Pedro.Braga48@bol.com.br;31335-444;Macedo Rua;259;Uberaba;Maranhão;Casa & Industrial;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/87.jpg
Calebe Santos;Calebe.Santos45@live.com;91280-295;Oliveira Marginal;459;Praia Grande;Rio de Janeiro;Música & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/236.jpg
Pablo Melo;Pablo42@hotmail.com;21859-787;Yuri Rodovia;527;Belford Roxo;Mato Grosso do Sul;Crianças, Filmes & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/597.jpg
Hugo Albuquerque;Hugo_Albuquerque@yahoo.com;40977-432;Lucca Rodovia;792;Niterói;Rondônia;Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/139.jpg
Lorena Moraes;Lorena7@bol.com.br;51116-179;Braga Rodovia;449;Diadema;Goiás;Industrial & Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/84.jpg
Célia Carvalho;Celia33@bol.com.br;13722-311;João Lucas Travessa;137;Campos dos Goytacazes;Rio de Janeiro;Crianças, Turismo & Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/161.jpg
Beatriz Batista;Beatriz_Batista13@yahoo.com;92905-582;Albuquerque Alameda;998;Mauá;Amazonas;Automotivo & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/168.jpg
Yago Silva;Yago.Silva77@hotmail.com;77130-891;Batista Rua;814;Montes Claros;Distrito Federal;Roupas & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/369.jpg
Nicolas Oliveira;Nicolas_Oliveira49@live.com;38121-734;Batista Avenida;254;Bauru;Amazonas;Esportes & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/327.jpg
Aline Pereira;Aline90@bol.com.br;75156-706;Rafael Avenida;38;Mauá;Sergipe;Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/370.jpg
Pablo Costa;Pablo68@bol.com.br;02725-326;Saraiva Travessa;68;Maringá;Mato Grosso do Sul;Mercearia, Brinquedos & Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/82.jpg
Júlia Franco;Julia37@gmail.com;98061-970;João Lucas Rodovia;180;São Bernardo do Campo;Rio de Janeiro;Industrial;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/749.jpg
Nataniel Reis;Nataniel.Reis52@live.com;99022-273;Maria Clara Travessa;258;Porto Velho;Maranhão;Beleza & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/174.jpg
Ladislau Braga;Ladislau_Braga@bol.com.br;58101-101;Oliveira Travessa;436;Taboão da Serra;Sergipe;Industrial, Casa & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/899.jpg
Joana Franco;Joana76@gmail.com;68012-594;Manuela Marginal;953;Anápolis;Acre;Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1205.jpg
Warley Saraiva;Warley34@live.com;33702-730;Melo Alameda;617;Maceió;Amapá;Automotivo, Brinquedos & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/921.jpg
Helena Braga;Helena_Braga74@gmail.com;32528-324;Enzo Gabriel Travessa;218;Ananindeua;Rio Grande do Norte;Ferramentas, Mercearia & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/9.jpg
Pedro Henrique Costa;PedroHenrique49@hotmail.com;24659-545;Paula Marginal;649;Belford Roxo;Rio Grande do Sul;Industrial & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/609.jpg
Márcia Souza;Marcia_Souza27@yahoo.com;64720-034;Nicolas Travessa;43;Aracaju;Roraima;Computadores, Livros & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/522.jpg
Miguel Costa;Miguel_Costa79@live.com;54989-268;Albuquerque Marginal;108;Brasília;Alagoas;Turismo, Sapatos & Livros;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/141.jpg
