NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Ana Laura Silva;AnaLaura_Silva@bol.com.br;91927-093;Sophia Travessa;263;Feira de Santana;Paraná;Automotivo & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1048.jpg
Miguel Moraes;Miguel.Moraes4@gmail.com;29314-755;Martins Alameda;519;Caxias do Sul;Mato Grosso do Sul;Jóias & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/165.jpg
João Miguel Santos;JoaoMiguel_Santos92@bol.com.br;61369-023;Rebeca Travessa;626;Goiânia;Goiás;Beleza & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/746.jpg
Lavínia Batista;Lavinia_Batista1@hotmail.com;38343-509;Félix Avenida;689;Brasília;Minas Gerais;Eletrônicos, Computadores & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/589.jpg
Ana Júlia Silva;AnaJulia_Silva70@yahoo.com;68964-563;Moreira Alameda;326;Serra;Distrito Federal;Jóias, Jóias & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/886.jpg
Ana Júlia Souza;AnaJulia40@live.com;06113-424;Ana Júlia Alameda;640;Juiz de Fora;Minas Gerais;Automotivo & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/711.jpg
Ana Júlia Moraes;AnaJulia.Moraes31@live.com;72298-982;Matheus Marginal;426;Jundiaí;Amazonas;Casa & Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/816.jpg
Davi Lucca Martins;DaviLucca.Martins@bol.com.br;34339-663;Isabella Travessa;268;Diadema;Mato Grosso do Sul;Brinquedos, Música & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/895.jpg
Fabiano Moraes;Fabiano.Moraes55@live.com;54109-794;Batista Marginal;845;Recife;Bahia;Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1001.jpg
Liz Batista;Liz_Batista@gmail.com;31777-209;Alessandra Rodovia;210;Belém;Pará;Livros, Crianças & Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/13.jpg
Helena Batista;Helena_Batista83@hotmail.com;04605-300;Nogueira Travessa;467;Joinville;Roraima;Eletrônicos, Beleza & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/164.jpg
Breno Costa;Breno62@yahoo.com;19093-537;Mariana Rua;957;Santa Maria;Goiás;Turismo & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/835.jpg
Pietro Batista;Pietro.Batista@yahoo.com;90202-188;Frederico Avenida;171;Paulista;Mato Grosso do Sul;Crianças, Industrial & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/587.jpg
Elisa Santos;Elisa_Santos@hotmail.com;60010-395;Nogueira Alameda;223;Aracaju;Paraná;Automotivo & Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1221.jpg
Breno Batista;Breno29@bol.com.br;27730-718;Isaac Alameda;114;Blumenau;Paraná;Casa & Mercearia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/582.jpg
Noah Reis;Noah38@gmail.com;39664-941;Albuquerque Avenida;884;Paulista;São Paulo;Computadores, Jogos & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/662.jpg
Maria Xavier;Maria.Xavier22@hotmail.com;57708-698;Carvalho Travessa;492;Jaboatão dos Guararapes;Amazonas;Crianças, Filmes & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/261.jpg
Giovanna Franco;Giovanna.Franco@yahoo.com;67555-586;Yasmin Alameda;243;Guarujá;Amazonas;Ferramentas & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/505.jpg
Sarah Pereira;Sarah25@hotmail.com;64487-919;Théo Marginal;584;Petrópolis;Pernambuco;Filmes, Beleza & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/715.jpg
Aline Melo;Aline_Melo87@live.com;10596-368;Núbia Avenida;579;Juiz de Fora;Amapá;Eletrônicos, Jóias & Industrial;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/944.jpg
Vitor Moraes;Vitor.Moraes38@hotmail.com;69893-444;Leonardo Rodovia;275;Gravataí;Ceará;Automotivo & Mercearia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/296.jpg
Júlio César Pereira;JulioCesar.Pereira53@hotmail.com;84955-969;Júlio Rodovia;211;Santo André;Tocantins;Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/262.jpg
Breno Melo;Breno.Melo@gmail.com;52072-484;Braga Marginal;838;São José dos Campos;Ceará;Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/995.jpg
Maria Helena Carvalho;MariaHelena_Carvalho38@gmail.com;86873-966;Matheus Avenida;727;Guarujá;Amazonas;Eletrônicos, Turismo & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1243.jpg
Isabel Reis;Isabel_Reis47@yahoo.com;74313-023;Anthony Travessa;356;Porto Alegre;Maranhão;Industrial;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1063.jpg
Caio Batista;Caio_Batista19@live.com;08165-671;Saraiva Marginal;435;Cascavel;Goiás;Livros, Turismo & Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/154.jpg
Karla Pereira;Karla20@bol.com.br;96844-223;Enzo Gabriel Rodovia;39;Manaus;Mato Grosso do Sul;Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/102.jpg
Breno Moreira;Breno73@gmail.com;68759-253;Silva Avenida;282;Cuiabá;Paraná;Livros & Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/519.jpg
Matheus Saraiva;Matheus_Saraiva39@yahoo.com;06379-118;Célia Alameda;822;Montes Claros;Espírito Santo;Crianças & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/835.jpg
Lorena Saraiva;Lorena44@gmail.com;61719-866;Martins Avenida;803;Serra;São Paulo;Música & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/632.jpg
Eloá Barros;Eloa28@gmail.com;53689-705;Batista Rua;68;Sumaré;Pará;Casa, Eletrônicos & Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/784.jpg
Lorena Moraes;Lorena61@live.com;97260-044;Hugo Rodovia;717;São José do Rio Preto;Goiás;Crianças, Esportes & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/509.jpg
Carlos Albuquerque;Carlos_Albuquerque19@yahoo.com;18842-710;Marcos Travessa;57;Guarujá;Rio Grande do Norte;Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/666.jpg
Paula Batista;Paula_Batista39@gmail.com;21278-591;Carvalho Rodovia;849;Uberaba;Amapá;Bebê & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1210.jpg
Enzo Barros;Enzo34@hotmail.com;93756-673;Feliciano Marginal;568;Juiz de Fora;Paraíba;Mercearia, Turismo & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1230.jpg
Fabrícia Silva;Fabricia28@hotmail.com;78457-630;Saraiva Alameda;238;Nova Iguaçu;Sergipe;Saúde, Jóias & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1059.jpg
Ana Luiza Braga;AnaLuiza.Braga39@gmail.com;76843-989;Hugo Avenida;629;Pelotas;Ceará;Música & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/87.jpg
Felipe Moraes;Felipe.Moraes@gmail.com;28862-823;Alessandra Marginal;486;Blumenau;Santa Catarina;Brinquedos & Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/831.jpg
Elísio Macedo;Elisio49@hotmail.com;72934-248;Albuquerque Avenida;564;Goiânia;Mato Grosso do Sul;Bebê, Casa & Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1200.jpg
Márcia Costa;Marcia_Costa@bol.com.br;61136-900;Alexandre Marginal;477;Porto Velho;Minas Gerais;Sapatos & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/58.jpg
Roberta Reis;Roberta.Reis20@gmail.com;57637-608;Franco Alameda;23;Paulista;Pará;Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/494.jpg
Antonella Melo;Antonella_Melo76@yahoo.com;61626-368;João Avenida;919;Bauru;Rio Grande do Sul;Eletrônicos, Jóias & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/605.jpg
Arthur Moraes;Arthur39@hotmail.com;89816-711;Lorraine Rua;148;Goiânia;Piauí;Livros, Eletrônicos & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/278.jpg
Nicolas Macedo;Nicolas.Macedo@bol.com.br;85003-274;Souza Avenida;536;Serra;Sergipe;Mercearia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/909.jpg
Alícia Moraes;Alicia.Moraes@bol.com.br;51325-458;Carvalho Rodovia;144;Olinda;Espírito Santo;Casa, Sapatos & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/322.jpg
Felipe Reis;Felipe_Reis@bol.com.br;27008-563;Gael Travessa;743;São José do Rio Preto;Tocantins;Brinquedos, Filmes & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/406.jpg
Isabella Martins;Isabella_Martins57@live.com;62139-221;Souza Avenida;861;Ponta Grossa;Rio Grande do Norte;Beleza, Eletrônicos & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/354.jpg
Marli Saraiva;Marli.Saraiva89@gmail.com;48255-079;Silva Rua;332;Natal;Mato Grosso;Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/566.jpg
Benjamin Saraiva;Benjamin31@hotmail.com;81162-314;João Marginal;176;São Luís;Espírito Santo;Jardim & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/895.jpg
Eduarda Reis;Eduarda.Reis@hotmail.com;89700-497;Antônio Rua;397;Blumenau;Sergipe;Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/604.jpg
Gael Santos;Gael26@bol.com.br;99710-343;Melissa Marginal;311;Belém;Mato Grosso do Sul;Automotivo & Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/393.jpg
Luiza Silva;Luiza80@hotmail.com;30046-623;Félix Travessa;11;Petrolina;Alagoas;Música, Livros & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/839.jpg
Carla Carvalho;Carla.Carvalho@bol.com.br;21658-634;Daniel Rua;985;Boa Vista;Sergipe;Industrial;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/997.jpg
Hugo Macedo;Hugo_Macedo88@live.com;56166-392;Isabella Avenida;125;Limeira;Paraíba;Mercearia, Saúde & Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/129.jpg
Sara Braga;Sara.Braga@hotmail.com;11393-316;Batista Rua;166;Maringá;Rio Grande do Norte;Saúde, Computadores & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/265.jpg
Pedro Silva;Pedro.Silva32@hotmail.com;09462-699;Reis Marginal;61;Goiânia;Mato Grosso;Livros, Saúde & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/10.jpg
Lara Santos;Lara.Santos@yahoo.com;31463-135;Costa Marginal;681;Santo André;Pará;Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/34.jpg
Matheus Melo;Matheus.Melo@yahoo.com;30025-873;Oliveira Marginal;899;São Gonçalo;Tocantins;Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1040.jpg
Samuel Carvalho;Samuel83@yahoo.com;91525-229;Yasmin Avenida;342;Osasco;Bahia;Jóias & Mercearia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/332.jpg
Joana Batista;Joana.Batista@yahoo.com;00726-885;Carla Avenida;891;São Luís;Rondônia;Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/264.jpg
Calebe Pereira;Calebe.Pereira97@hotmail.com;46214-011;Santos Rodovia;611;Porto Velho;Mato Grosso do Sul;Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/588.jpg
Júlia Nogueira;Julia_Nogueira@live.com;04748-770;Danilo Marginal;154;São José dos Pinhais;Goiás;Ferramentas, Música & Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/266.jpg
Lívia Santos;Livia.Santos72@bol.com.br;08892-091;Pedro Henrique Rua;446;Florianópolis;Pernambuco;Brinquedos, Jardim & Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1186.jpg
Davi Souza;Davi.Souza@gmail.com;27178-172;Lorena Rua;52;Teresina;Rio de Janeiro;Ferramentas & Livros;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/127.jpg
Leonardo Saraiva;Leonardo.Saraiva@yahoo.com;29713-284;Fabiano Rodovia;151;Carapicuíba;Paraíba;Livros & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/346.jpg
Davi Lucca Carvalho;DaviLucca87@yahoo.com;51599-532;João Avenida;750;Suzano;Bahia;Bebê, Livros & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1037.jpg
Arthur Barros;Arthur_Barros@bol.com.br;08273-708;Norberto Marginal;909;Caxias do Sul;Amapá;Ferramentas & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/809.jpg
Vitor Moraes;Vitor51@yahoo.com;53401-087;Luiza Travessa;322;São João de Meriti;Piauí;Jardim, Roupas & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/334.jpg
Yango Melo;Yango_Melo@yahoo.com;50301-996;Isabela Rodovia;654;Gravataí;Mato Grosso;Turismo & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/179.jpg
Ricardo Souza;Ricardo_Souza@live.com;30898-923;Martins Rodovia;875;Santo André;Paraná;Turismo, Sapatos & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/137.jpg
Laura Barros;Laura.Barros@gmail.com;65795-772;Sophia Alameda;265;Cuiabá;Maranhão;Turismo, Saúde & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/886.jpg
Lorraine Xavier;Lorraine.Xavier@yahoo.com;17580-448;Martins Marginal;15;Manaus;Goiás;Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/691.jpg
Ígor Martins;Igor_Martins@bol.com.br;64761-469;Vitória Marginal;678;Uberaba;Piauí;Ferramentas, Bebê & Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/105.jpg
Márcia Saraiva;Marcia.Saraiva@live.com;38592-707;Dalila Alameda;117;Porto Alegre;Goiás;Crianças, Turismo & Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1012.jpg
Silas Braga;Silas.Braga@live.com;25091-229;Miguel Marginal;565;Suzano;Amapá;Ferramentas, Turismo & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1238.jpg
Isabelly Barros;Isabelly38@gmail.com;07951-391;Batista Rodovia;356;Salvador;Amapá;Roupas, Roupas & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/460.jpg
Eloá Braga;Eloa10@live.com;79122-033;Víctor Travessa;72;Uberlândia;Acre;Industrial;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/979.jpg
Aline Moraes;Aline_Moraes46@bol.com.br;17315-831;Carvalho Rua;311;Carapicuíba;Amazonas;Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/859.jpg
Roberta Costa;Roberta.Costa75@bol.com.br;26532-009;Melo Avenida;592;Praia Grande;Espírito Santo;Jogos, Mercearia & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1207.jpg
Emanuel Moreira;Emanuel.Moreira@hotmail.com;18438-644;Emanuelly Rua;613;Caruaru;Rio Grande do Norte;Jogos & Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/631.jpg
Yago Reis;Yago.Reis@gmail.com;37209-384;Gustavo Travessa;573;Goiânia;Minas Gerais;Música, Sapatos & Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/91.jpg
